"filename", "language", "Markdown", "YAML", "C++", "Swift", "CMake", "XML", "JSON", "Dart", "HTML", "Java Properties", "comment", "blank", "total"
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/controllers/dashboard_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 525, 0, 0, 52, 83, 660
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/domain/voice_command_handler.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 1, 25, 202
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/screens/dashboard_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 9, 26, 245
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/services/voice_command_handler.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 176, 0, 0, 1, 25, 202
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/activities_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 161, 0, 0, 10, 17, 188
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_assistant_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 283, 0, 0, 1, 33, 317
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_recommendation_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 128, 0, 0, 0, 4, 132
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_recommendations.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 899, 0, 0, 20, 66, 985
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/ai_recommendations_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/dashboard_app_bar.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 4, 45
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/day_overview_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 7, 149
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/metric_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 147, 0, 0, 0, 12, 159
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/quick_stats_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 6, 120
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/dashboard/presentation/widgets/time_block_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 6, 135
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/cubit/habit_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 16, 141
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/cubit/habit_state.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/models/habit_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 103, 0, 0, 0, 20, 123
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/models/time_of_day_adapter.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 4, 21
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/repositories/habit_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 1, 18, 151
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/data/repositories/habit_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 162, 0, 0, 0, 24, 186
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/entities/habit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/repositories/habit_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 2, 12
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/services/habit_to_timeblock_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 290, 0, 0, 77, 67, 434
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/domain/usecases/get_habits_use_case.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 9, 9, 82
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/screens/habits_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 309, 0, 0, 3, 26, 338
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/widgets/dashboard_habits.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 4, 93
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/widgets/edit_habit_sheet.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 285, 0, 0, 6, 18, 309
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/habits/presentation/widgets/habit_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 5, 48
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/home/presentation/screens/home_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 5, 9, 88
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/data/models/settings_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 0, 12, 64
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/data/services/settings_service.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 11, 52
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/providers/settings_provider.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 45, 0, 0, 0, 11, 56
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/screens/settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 193, 0, 0, 0, 6, 199
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/screens/theme_settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 245, 0, 0, 10, 13, 268
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/settings/presentation/widgets/settings_section.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 4, 9, 110
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/cubit/task_cubit.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 8, 35
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/models/subtask_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/models/task_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 4, 22
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/subtask_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/subtask_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 37, 0, 0, 0, 7, 44
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/task_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/data/repositories/task_repository_impl.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 8, 47
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/presentation/screens/tasks_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 10, 139
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/tasks/presentation/widgets/subtask_list.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 99, 0, 0, 0, 12, 111
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/data/models/time_block_model.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 27, 21, 162
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/data/repositories/time_block_repository.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 219, 0, 0, 54, 32, 305
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/screens/create_time_block_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 400, 0, 0, 11, 18, 429
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/screens/edit_time_block_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 5, 23
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/screens/time_blocks_screen.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 376, 0, 0, 27, 38, 441
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/widgets/time_block_card.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 156, 0, 0, 2, 7, 165
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/timeblocks/presentation/widgets/time_block_timeline.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 290, 0, 0, 0, 24, 314
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/main.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 182, 0, 0, 20, 22, 224
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/CMakeLists.txt", "CMake", 0, 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 25, 129
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/CMakeLists.txt", "CMake", 0, 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 10, 89
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/CMakeLists.txt", "CMake", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 6, 27
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/my_application.cc", "C++", 0, 0, 83, 0, 0, 0, 0, 0, 0, 0, 21, 27, 131
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/linux/runner/my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Flutter/GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 3, 4, 19
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 3, 14
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 68
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/Base.lproj/MainMenu.xib", "XML", 0, 0, 0, 0, 0, 343, 0, 0, 0, 0, 0, 1, 344
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/Runner/MainFlutterWindow.swift", "Swift", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/macos/RunnerTests/RunnerTests.swift", "Swift", 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 2, 4, 13
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/pubspec.yaml", "YAML", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 31, 11, 115
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/features/habits/domain/usecases/get_habits_use_case_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 126, 0, 0, 18, 22, 166
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widget_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 11, 7, 41
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_app_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 12, 20, 129
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_button_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 15, 17, 125
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_card_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 136, 0, 0, 12, 26, 174
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/accessible_scaffold_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 10, 25, 166
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/animated_list_item_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 78, 0, 0, 14, 20, 112
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/bottom_navigation_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 165, 0, 0, 10, 20, 195
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/custom_app_bar_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 151, 0, 0, 11, 25, 187
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/expandable_fab_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 230, 0, 0, 25, 38, 293
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/hover_scale_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 106, 0, 0, 18, 26, 150
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/test/widgets/mobile_animated_list_test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 95, 0, 0, 14, 19, 128
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 19, 0, 15, 5, 39
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/web/manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 35
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/CMakeLists.txt", "CMake", 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 0, 20, 109
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/CMakeLists.txt", "CMake", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 12, 110
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/flutter/generated_plugins.cmake", "CMake", 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 6, 24
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/CMakeLists.txt", "CMake", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"/home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/windows/runner/win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 744, 387, 540, 61, 461, 479, 248, 16487, 19, 8, 1337, 2361, 23132