task_id,user_id,task_description,task_category_manual,task_category_predicted,priority,creation_timestamp,due_date,estimated_duration_minutes,actual_duration_minutes,completion_timestamp,status,start_time_suggested,start_time_actual,context_location,context_day_of_week,context_time_of_day,is_recurring,complexity_score,energy_level_user,mood_user
1,user_001,"Preparar presentación para cliente X","Trabajo","Trabajo","Alta","2024-05-20T09:00:00Z","2024-05-21T17:00:00Z",120,150,"2024-05-21T16:30:00Z","Completada","2024-05-21T14:00:00Z","2024-05-21T14:05:00Z","Oficina","Martes","Tarde",false,4,4,"Concentrado"
2,user_001,"Revisar correos importantes","Trabajo","Trabajo","Media","2024-05-20T09:05:00Z","2024-05-20T10:00:00Z",30,25,"2024-05-20T09:30:00Z","Completada","2024-05-20T09:05:00Z","2024-05-20T09:05:00Z","Oficina","Lunes","Mañana",true,2,4,"Normal"
3,user_002,"Comprar víveres para la semana","Personal","Personal","Media","2024-05-20T18:00:00Z","2024-05-20T20:00:00Z",60,75,"2024-05-20T19:45:00Z","Completada",,, "Supermercado","Lunes","Tarde",false,2,3,"Relajado"
4,user_001,"Llamada de seguimiento con proveedor Y","Trabajo","Trabajo","Alta","2024-05-21T10:00:00Z","2024-05-21T11:00:00Z",45,40,"2024-05-21T10:40:00Z","Completada","2024-05-21T10:00:00Z","2024-05-21T10:02:00Z","Oficina","Martes","Mañana",false,3,4,"Normal"
5,user_003,"Estudiar capítulo 5 de Flutter","Estudio","Estudio","Alta","2024-05-21T15:00:00Z","2024-05-21T17:00:00Z",90,100,"2024-05-21T16:40:00Z","Completada","2024-05-21T15:00:00Z","2024-05-21T15:00:00Z","Casa","Martes","Tarde",false,4,3,"Concentrado"
6,user_002,"Hacer ejercicio - rutina de cardio","Salud","Salud","Media","2024-05-22T07:00:00Z","2024-05-22T08:00:00Z",45,50,"2024-05-22T07:55:00Z","Completada",, "2024-05-22T07:03:00Z","Gimnasio","Miércoles","Mañana",true,3,5,"Energético"
7,user_001,"Brainstorming nuevo proyecto Z","Trabajo","Trabajo","Alta","2024-05-22T11:00:00Z","2024-05-22T13:00:00Z",120,,"","Pendiente","2024-05-22T11:00:00Z",, "Oficina","Miércoles","Mañana",false,5,4,"Creativo"
8,user_003,"Planificar viaje de vacaciones","Personal","Personal","Baja","2024-05-22T19:00:00Z","2024-05-26T23:59:00Z",180,,"","Pendiente",,, "Casa","Miércoles","Noche",false,3,3,"Relajado"
9,user_002,"Leer artículo sobre IA en móviles","Estudio","Estudio","Media","2024-05-23T09:00:00Z","2024-05-23T10:00:00Z",60,55,"2024-05-23T09:55:00Z","Completada",, "2024-05-23T09:00:00Z","Casa","Jueves","Mañana",false,3,4,"Curioso"
10,user_001,"Redactar informe mensual","Trabajo","Trabajo","Alta","2024-05-23T14:00:00Z","2024-05-24T17:00:00Z",240,,"","En Progreso","2024-05-23T14:00:00Z","2024-05-23T14:10:00Z","Oficina","Jueves","Tarde",false,5,3,"Normal"
11,user_004,"Clase de Yoga","Salud","Salud","Media","2024-05-20T18:30:00Z","2024-05-20T19:30:00Z",60,60,"2024-05-20T19:30:00Z","Completada",, "2024-05-20T18:30:00Z","Estudio Yoga","Lunes","Tarde",true,2,4,"Relajado"
12,user_004,"Terminar diseño UI para app","Trabajo","Diseño","Alta","2024-05-21T09:00:00Z","2024-05-21T15:00:00Z",300,320,"2024-05-21T15:20:00Z","Completada","2024-05-21T09:30:00Z","2024-05-21T09:35:00Z","Casa","Martes","Mañana",false,5,3,"Concentrado"
13,user_001,"Reunión de equipo semanal","Trabajo","Reunión","Media","2024-05-22T09:00:00Z","2024-05-22T10:00:00Z",60,65,"2024-05-22T10:05:00Z","Completada",, "2024-05-22T09:00:00Z","Online","Miércoles","Mañana",true,3,4,"Normal"
14,user_002,"Pagar facturas pendientes","Finanzas","Finanzas","Alta","2024-05-23T11:00:00Z","2024-05-23T12:00:00Z",30,20,"2024-05-23T11:20:00Z","Completada",, "2024-05-23T11:00:00Z","Casa","Jueves","Mañana",false,2,3,"Normal"
15,user_003,"Investigar sobre APIs de terceros","Estudio","Desarrollo","Media","2024-05-24T10:00:00Z","2024-05-24T13:00:00Z",120,,"","Pendiente","2024-05-24T10:00:00Z",, "Casa","Viernes","Mañana",false,4,4,"Investigador"
16,user_001,"Almuerzo con colega","Social","Social","Baja","2024-05-24T13:00:00Z","2024-05-24T14:00:00Z",60,70,"2024-05-24T14:10:00Z","Completada",, "2024-05-24T13:00:00Z","Restaurante","Viernes","Mediodía",false,1,5,"Relajado"
17,user_002,"Limpieza general de la casa","Hogar","Hogar","Media","2024-05-25T10:00:00Z","2024-05-25T13:00:00Z",180,,"","Pendiente",,, "Casa","Sábado","Mañana",false,3,3,"Motivado"
18,user_004,"Corregir bugs reportados","Trabajo","Desarrollo","Alta","2024-05-20T14:00:00Z","2024-05-20T18:00:00Z",180,200,"2024-05-20T17:40:00Z","Completada","2024-05-20T14:00:00Z","2024-05-20T14:05:00Z","Oficina","Lunes","Tarde",false,5,2,"Estresado"
19,user_003,"Meditación guiada","Salud","Bienestar","Baja","2024-05-21T21:00:00Z","2024-05-21T21:20:00Z",20,20,"2024-05-21T21:20:00Z","Completada",, "2024-05-21T21:00:00Z","Casa","Martes","Noche",true,1,4,"Calmado"
20,user_001,"Definir OKRs para Q3","Trabajo","Planificación","Alta","2024-05-25T09:00:00Z","2024-05-27T17:00:00Z",300,,"","Pendiente","2024-05-26T10:00:00Z",, "Oficina","Domingo","Mañana",false,5,4,"Estratégico"
21,user_002,"Preparar cena especial","Personal","Cocina","Media","2024-05-25T18:00:00Z","2024-05-25T20:00:00Z",90,100,"2024-05-25T20:10:00Z","Completada",, "2024-05-25T18:30:00Z","Casa","Sábado","Tarde",false,3,4,"Creativo"
22,user_003,"Ver curso online de Data Science","Estudio","Aprendizaje","Media","2024-05-26T15:00:00Z","2024-05-26T17:00:00Z",120,,"","Pendiente","2024-05-26T15:00:00Z",, "Online","Domingo","Tarde",false,4,3,"Interesado"
23,user_004,"Ir al cine a ver nueva película","Ocio","Entretenimiento","Baja","2024-05-24T20:00:00Z","2024-05-24T23:00:00Z",150,160,"2024-05-24T23:10:00Z","Completada",, "2024-05-24T20:30:00Z","Cine","Viernes","Noche",false,1,5,"Emocionado"
24,user_001,"Escribir documentación técnica","Trabajo","Documentación","Media","2024-05-27T10:00:00Z","2024-05-27T13:00:00Z",180,,"","Pendiente","2024-05-27T10:00:00Z",, "Oficina","Lunes","Mañana",false,4,3,"Concentrado"
25,user_002,"Resolver puzzle Sudoku difícil","Ocio","Juego Mental","Baja","2024-05-27T16:00:00Z","2024-05-27T17:00:00Z",45,50,"2024-05-27T16:50:00Z","Completada",, "2024-05-27T16:00:00Z","Casa","Lunes","Tarde",false,3,4,"Desafiado"
26,user_005,"Revisar KPI de ventas semanales","Trabajo","Análisis","Alta","2024-05-28T09:00:00Z","2024-05-28T10:00:00Z",60,55,"2024-05-28T09:55:00Z","Completada","2024-05-28T09:00:00Z","2024-05-28T09:00:00Z","Oficina","Martes","Mañana",true,4,4,"Enfocado"
27,user_001,"Práctica de guitarra - nueva canción","Ocio","Música","Media","2024-05-28T18:00:00Z","2024-05-28T19:00:00Z",60,70,"2024-05-28T19:10:00Z","Completada",, "2024-05-28T18:00:00Z","Casa","Martes","Tarde",false,3,3,"Relajado"
28,user_002,"Actualizar portfolio online","Personal","Profesional","Media","2024-05-29T11:00:00Z","2024-05-30T17:00:00Z",180,,"","Pendiente","2024-05-29T14:00:00Z",, "Casa","Miércoles","Tarde",false,4,4,"Creativo"
29,user_003,"Sesión de estudio grupal online","Estudio","Colaboración","Alta","2024-05-29T16:00:00Z","2024-05-29T18:00:00Z",120,110,"2024-05-29T17:50:00Z","Completada",, "2024-05-29T16:00:00Z","Online","Miércoles","Tarde",false,3,3,"Colaborativo"
30,user_004,"Enviar facturas a clientes","Trabajo","Administrativo","Alta","2024-05-30T09:30:00Z","2024-05-30T10:30:00Z",60,,"","En Progreso","2024-05-30T09:30:00Z","2024-05-30T09:35:00Z","Oficina","Jueves","Mañana",true,2,3,"Normal"
31,user_005,"Caminata matutina","Salud","Ejercicio","Media","2024-05-20T07:00:00Z","2024-05-20T07:45:00Z",45,45,"2024-05-20T07:45:00Z","Completada",, "2024-05-20T07:00:00Z","Parque","Lunes","Mañana",true,2,5,"Energético"
32,user_001,"Responder comentarios del blog","Personal","Comunicación","Baja","2024-05-20T11:00:00Z","2024-05-20T11:30:00Z",30,25,"2024-05-20T11:25:00Z","Completada",, "2024-05-20T11:00:00Z","Casa","Lunes","Mañana",false,2,3,"Social"
33,user_002,"Investigar nuevas herramientas de diseño","Estudio","Investigación","Media","2024-05-21T14:00:00Z","2024-05-21T16:00:00Z",120,130,"2024-05-21T16:10:00Z","Completada",, "2024-05-21T14:00:00Z","Online","Martes","Tarde",false,4,4,"Curioso"
34,user_003,"Preparar la comida para mañana (meal prep)","Hogar","Cocina","Media","2024-05-21T20:00:00Z","2024-05-21T21:00:00Z",60,50,"2024-05-21T20:50:00Z","Completada",, "2024-05-21T20:00:00Z","Casa","Martes","Noche",true,3,3,"Organizado"
35,user_004,"Asistir a webinar sobre marketing digital","Formación","Aprendizaje","Media","2024-05-22T16:00:00Z","2024-05-22T17:30:00Z",90,90,"2024-05-22T17:30:00Z","Completada",, "2024-05-22T16:00:00Z","Online","Miércoles","Tarde",false,3,4,"Interesado"
36,user_005,"Llamar a familiar para felicitar cumpleaños","Social","Familia","Alta","2024-05-23T19:00:00Z","2024-05-23T19:30:00Z",20,25,"2024-05-23T19:25:00Z","Completada",, "2024-05-23T19:00:00Z","Casa","Jueves","Noche",false,1,5,"Feliz"
37,user_001,"Escribir borrador artículo nuevo","Trabajo","Creación Contenido","Alta","2024-05-23T09:00:00Z","2024-05-23T12:00:00Z",180,,"","En Progreso","2024-05-23T09:00:00Z","2024-05-23T09:15:00Z","Oficina","Jueves","Mañana",false,5,3,"Concentrado"
38,user_002,"Organizar escritorio y espacio de trabajo","Hogar","Organización","Baja","2024-05-24T17:00:00Z","2024-05-24T17:30:00Z",30,30,"2024-05-24T17:30:00Z","Completada",, "2024-05-24T17:00:00Z","Casa","Viernes","Tarde",true,1,3,"Satisfecho"
39,user_003,"Práctica de mindfulness (10 min)","Salud","Bienestar","Media","2024-05-25T08:00:00Z","2024-05-25T08:10:00Z",10,10,"2024-05-25T08:10:00Z","Completada",, "2024-05-25T08:00:00Z","Casa","Sábado","Mañana",true,1,4,"Calmado"
40,user_004,"Planificar contenido para redes sociales (semana)","Trabajo","Marketing","Media","2024-05-26T11:00:00Z","2024-05-26T13:00:00Z",120,,"","Pendiente","2024-05-26T11:00:00Z",, "Online","Domingo","Mañana",false,4,3,"Estratégico"
41,user_005,"Lectura recreativa (30 min)","Ocio","Lectura","Baja","2024-05-27T21:30:00Z","2024-05-27T22:00:00Z",30,35,"2024-05-27T22:05:00Z","Completada",, "2024-05-27T21:30:00Z","Casa","Lunes","Noche",true,1,4,"Relajado"
42,user_001,"Testear nueva funcionalidad de la app","Trabajo","Desarrollo","Alta","2024-05-28T14:00:00Z","2024-05-28T17:00:00Z",180,,"","Pendiente","2024-05-28T14:00:00Z",, "Oficina","Martes","Tarde",false,5,3,"Analítico"
43,user_002,"Voluntariado en refugio de animales","Social","Voluntariado","Media","2024-05-25T10:00:00Z","2024-05-25T13:00:00Z",180,180,"2024-05-25T13:00:00Z","Completada",, "2024-05-25T10:00:00Z","Refugio","Sábado","Mañana",false,2,5,"Comprometido"
44,user_003,"Aprender nuevas palabras en otro idioma (Duolingo)","Estudio","Idiomas","Baja","2024-05-20T13:00:00Z","2024-05-20T13:15:00Z",15,15,"2024-05-20T13:15:00Z","Completada",, "2024-05-20T13:00:00Z","Móvil","Lunes","Mediodía",true,2,3,"Divertido"
45,user_004,"Reparar grifo que gotea","Hogar","Mantenimiento","Media","2024-05-26T15:00:00Z","2024-05-26T16:00:00Z",60,75,"2024-05-26T16:15:00Z","Completada",, "2024-05-26T15:00:00Z","Casa","Domingo","Tarde",false,3,2,"Frustrado"
46,user_005,"Networking: contactar 3 profesionales en LinkedIn","Profesional","Networking","Media","2024-05-21T11:00:00Z","2024-05-21T12:00:00Z",60,,"","Pendiente","2024-05-21T11:00:00Z",, "Online","Martes","Mañana",false,3,4,"Proactivo"
47,user_001,"Jugar videojuegos para desconectar","Ocio","Gaming","Baja","2024-05-22T21:00:00Z","2024-05-22T22:00:00Z",60,60,"2024-05-22T22:00:00Z","Completada",, "2024-05-22T21:00:00Z","Casa","Miércoles","Noche",false,1,4,"Entretenido"
48,user_002,"Diseñar nuevo logo para proyecto personal","Personal","Diseño","Media","2024-05-23T15:00:00Z","2024-05-24T18:00:00Z",240,,"","En Progreso","2024-05-23T15:00:00Z","2024-05-23T15:10:00Z","Casa","Jueves","Tarde",false,4,3,"Inspirado"
49,user_003,"Escuchar podcast sobre finanzas personales","Formación","Finanzas","Baja","2024-05-24T08:30:00Z","2024-05-24T09:15:00Z",45,45,"2024-05-24T09:15:00Z","Completada",, "2024-05-24T08:30:00Z","Transporte","Viernes","Mañana",true,2,4,"Aprendiendo"
50,user_004,"Revisión de código de compañero","Trabajo","Colaboración","Media","2024-05-20T16:00:00Z","2024-05-20T17:00:00Z",60,50,"2024-05-20T16:50:00Z","Completada",, "2024-05-20T16:00:00Z","Oficina","Lunes","Tarde",false,4,3,"Detallista"
51,user_005,"Pintar miniatura","Ocio","Hobby","Baja","2024-05-26T18:00:00Z","2024-05-26T20:00:00Z",120,130,"2024-05-26T20:10:00Z","Completada",, "2024-05-26T18:00:00Z","Casa","Domingo","Tarde",false,3,4,"Concentrado"
52,user_001,"Seguimiento de proyecto con cliente Y","Trabajo","Cliente","Alta","2024-05-27T11:00:00Z","2024-05-27T11:45:00Z",45,,"","Pendiente","2024-05-27T11:00:00Z",, "Online","Lunes","Mañana",false,3,4,"Preparado"
53,user_002,"Ir de compras (ropa temporada)","Personal","Compras","Baja","2024-05-27T17:00:00Z","2024-05-27T19:00:00Z",120,150,"2024-05-27T19:30:00Z","Completada",,, "Centro Comercial","Lunes","Tarde",false,2,3,"Relajado"
54,user_003,"Escribir diario personal (reflexión día)","Personal","Bienestar","Baja","2024-05-28T22:00:00Z","2024-05-28T22:15:00Z",15,15,"2024-05-28T22:15:00Z","Completada",, "2024-05-28T22:00:00Z","Casa","Martes","Noche",true,1,4,"Reflexivo"
55,user_004,"Preparar presentación interna de resultados","Trabajo","Presentación","Alta","2024-05-29T10:00:00Z","2024-05-30T12:00:00Z",300,,"","En Progreso","2024-05-29T10:00:00Z","2024-05-29T10:05:00Z","Oficina","Miércoles","Mañana",false,5,3,"Organizado"
56,user_005,"Ver documental sobre naturaleza","Ocio","Documental","Baja","2024-05-30T20:00:00Z","2024-05-30T21:30:00Z",90,90,"2024-05-30T21:30:00Z","Completada",, "2024-05-30T20:00:00Z","Casa","Jueves","Noche",false,2,4,"Curioso"
57,user_001,"Meditación diaria (15 min)","Salud","Hábito","Media","2024-05-21T07:30:00Z","2024-05-21T07:45:00Z",15,15,"2024-05-21T07:45:00Z","Completada","","2024-05-21T07:30:00Z","Casa","Martes","Mañana",true,1,4,"Centrado"
58,user_002,"Riego de plantas","Hogar","Hábito","Baja","2024-05-22T18:00:00Z","2024-05-22T18:10:00Z",10,10,"2024-05-22T18:10:00Z","Completada","","2024-05-22T18:00:00Z","Casa","Miércoles","Tarde",true,1,3,"Tranquilo"
59,user_003,"Revisión de objetivos semanales","Personal","Planificación","Media","2024-05-26T19:00:00Z","2024-05-26T19:30:00Z",30,25,"2024-05-26T19:25:00Z","Completada","","2024-05-26T19:00:00Z","Casa","Domingo","Noche",true,2,4,"Organizado"
60,user_004,"Estiramientos post-trabajo","Salud","Hábito","Baja","2024-05-27T18:00:00Z","2024-05-27T18:15:00Z",15,15,"2024-05-27T18:15:00Z","Completada","","2024-05-27T18:00:00Z","Oficina","Lunes","Tarde",true,1,3,"Aliviado" 